,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg]
0,,-2.959,1.200,1.03,0.62,0.160,4.983,11.898,5.471,61.2,5.471,61.2,5.471,61.2
1,,-2.750,0.600,1.03,0.62,0.242,3.046,11.842,5.475,90.0,5.502,90.0,7.862,90.0
2,,-2.226,0.400,1.17,1.02,0.291,-2.345,15.403,5.681,90.0,6.135,90.0,8.838,90.0
3,,-2.870,0.200,1.17,1.38,0.270,-3.130,17.520,5.403,90.0,5.740,90.0,11.299,90.0
4,,-3.047,0.200,0.84,0.76,0.099,-2.292,10.735,5.167,90.0,5.647,90.0,7.359,90.0
5,,-3.363,0.400,1.17,0.72,0.107,0.900,11.777,5.348,90.0,5.732,90.0,7.683,90.0
6,,-2.991,1.400,1.03,0.65,0.115,3.810,12.781,5.463,90.0,5.940,90.0,7.879,90.0
7,,-2.870,0.200,1.17,1.02,0.238,-4.483,13.162,5.483,90.0,5.740,90.0,8.365,90.0
8,,-2.834,0.200,1.17,1.52,0.280,-10.746,18.845,5.387,90.0,5.747,90.0,12.174,90.0
9,,-3.609,0.600,1.03,0.75,0.013,4.046,13.125,5.600,90.0,5.831,90.0,8.039,90.0
10,,-3.326,0.400,1.17,1.18,0.161,-7.732,16.725,5.809,90.0,5.967,90.0,9.651,90.0
11,,-3.176,1.000,1.03,0.64,0.020,4.461,12.447,5.392,90.0,5.949,90.0,7.760,90.0
12,,-1.633,0.000,0.72,0.95,0.074,-6.146,13.017,5.179,90.0,5.572,90.0,9.022,90.0
13,,-2.863,0.400,0.72,0.54,0.085,-0.280,8.938,4.981,90.0,5.175,90.0,6.935,90.0
14,,-2.704,0.200,0.72,1.35,0.162,-13.060,16.597,5.416,90.0,5.953,90.0,10.295,90.0
15,,-1.843,0.200,0.72,0.95,0.190,-7.137,12.529,5.335,90.0,5.416,90.0,8.671,90.0
16,,-2.861,0.400,0.79,0.87,0.298,-7.387,14.417,5.738,90.0,5.883,90.0,8.542,90.0
17,,-2.807,0.200,0.72,1.06,0.293,-8.901,15.081,6.269,54.3,6.269,54.3,6.269,54.3
18,,-2.333,0.000,0.72,1.38,0.037,-9.684,16.119,5.479,90.0,5.683,90.0,10.354,90.0
19,,-2.973,0.400,0.72,1.03,0.275,-6.936,14.351,5.725,90.0,5.850,90.0,8.571,90.0
20,,-2.164,0.000,0.72,0.76,0.208,-5.697,8.948,4.691,90.0,5.019,90.0,7.601,90.0
21,,-2.233,0.000,0.72,1.02,0.242,-10.109,12.446,5.305,90.0,5.535,90.0,8.478,90.0
22,,-2.912,0.400,0.72,0.98,0.284,-5.876,13.858,5.687,90.0,5.808,90.0,8.392,90.0
23,,-2.941,0.400,0.72,0.97,0.275,-6.807,13.611,5.670,90.0,5.767,90.0,8.324,90.0
24,,-2.888,0.400,0.79,0.85,0.292,-7.010,14.118,5.723,90.0,5.819,90.0,8.479,90.0
25,,-2.339,0.000,0.72,1.52,0.029,-19.751,17.828,5.618,90.0,5.953,90.0,10.660,90.0
26,,-2.955,0.400,0.72,0.96,0.268,-6.477,13.425,5.655,90.0,5.740,90.0,8.271,90.0
27,,-2.723,0.200,0.72,1.18,0.158,-9.981,14.899,5.532,90.0,5.639,90.0,9.553,90.0
28,,-1.566,0.400,0.72,1.2,0.404,-5.310,12.645,5.575,90.0,5.589,90.0,8.116,90.0
29,,-2.858,0.200,0.72,0.95,0.220,-7.759,12.678,5.393,90.0,5.432,90.0,8.656,90.0
30,,-1.414,0.000,0.66,0.75,0.543,-12.443,13.656,5.252,90.0,6.199,90.0,8.389,90.0
31,,-2.419,0.000,0.66,1.35,0.308,-18.683,18.913,6.269,63.9,6.269,63.9,6.269,63.9
32,,-2.370,0.000,0.66,1.0,0.393,-13.482,14.438,5.777,62.7,5.777,62.7,5.777,62.7
33,,-1.494,0.000,0.66,0.95,0.462,-12.523,13.866,5.444,70.4,5.444,70.4,5.444,70.4
34,,-2.538,0.000,0.66,0.95,0.375,-15.419,15.144,5.838,63.5,5.838,63.5,5.838,63.5
35,,-2.413,0.000,0.66,1.18,0.332,-16.873,16.614,6.037,63.1,6.037,63.1,6.037,63.1
36,,-2.500,0.001,0.66,0.87,0.234,-13.326,14.644,5.950,59.3,5.950,59.3,5.950,59.3
37,,-3.560,0.000,1.08,0.54,-0.023,6.272,10.255,5.188,90.0,5.347,90.0,7.394,90.0
38,,-2.487,0.000,1.08,0.27,0.880,5.345,8.307,3.463,90.0,3.463,90.0,3.463,90.0
39,,-2.811,0.200,1.08,1.35,0.275,-7.335,18.577,6.515,90.0,6.787,90.0,8.403,90.0
40,,-2.323,0.000,1.08,1.01,1.342,-2.979,18.662,4.536,90.0,4.536,90.0,4.536,90.0
41,,-3.178,0.600,1.08,0.62,-0.033,4.248,11.195,5.281,90.0,5.578,90.0,7.600,90.0
42,,-2.259,0.000,1.08,0.54,0.048,0.702,11.081,5.237,90.0,5.899,90.0,7.174,90.0
43,,-2.911,0.000,1.08,0.91,0.918,1.026,15.491,4.263,90.0,4.263,90.0,4.263,90.0
44,,-3.010,0.000,1.08,0.89,0.842,1.808,15.017,4.219,90.0,4.219,90.0,4.219,90.0
45,,-2.758,1.000,1.08,0.65,-0.029,3.190,11.329,5.298,90.0,5.607,90.0,7.627,90.0
46,,-2.946,0.000,1.08,0.62,0.024,4.486,11.113,5.277,90.0,5.565,90.0,7.569,90.0
47,,-2.798,0.000,1.08,0.94,1.002,0.203,16.091,4.317,90.0,4.317,90.0,4.317,90.0
48,,-2.963,0.000,1.08,0.9,0.878,1.406,15.248,4.240,90.0,4.240,90.0,4.240,90.0
49,,-2.446,0.000,1.08,1.03,1.315,-2.941,18.419,4.516,90.0,4.516,90.0,4.516,90.0
50,,-3.151,0.000,1.08,0.86,0.734,2.879,14.331,4.154,90.0,4.154,90.0,4.154,90.0
51,,-2.936,0.800,1.08,0.65,0.023,3.468,11.380,5.293,90.0,5.739,90.0,7.493,90.0
52,,-2.502,0.000,1.08,0.98,1.212,-1.797,17.670,4.454,90.0,4.454,90.0,4.454,90.0
53,,-2.591,0.000,1.08,0.97,1.151,-1.227,17.189,4.413,90.0,4.413,90.0,4.413,90.0
54,,-2.419,0.000,1.08,0.99,1.273,-2.360,18.136,4.493,90.0,4.493,90.0,4.493,90.0
55,,-2.135,0.000,1.08,1.52,0.338,-8.123,18.335,6.164,90.0,6.253,90.0,9.515,90.0
56,,-3.781,0.000,1.08,0.75,0.027,5.013,12.271,5.430,90.0,5.721,90.0,7.901,90.0
57,,-2.647,0.000,1.08,0.96,1.108,-0.803,16.879,4.386,90.0,4.386,90.0,4.386,90.0
58,,-2.726,0.000,1.08,0.92,0.958,0.631,15.798,4.291,90.0,4.291,90.0,4.291,90.0
59,,-2.265,0.000,1.08,0.89,0.108,0.610,14.133,5.576,90.0,5.930,90.0,8.549,90.0
60,,-3.070,0.000,1.08,0.88,0.800,2.191,14.729,4.192,90.0,4.192,90.0,4.192,90.0
61,,-3.250,0.400,1.08,0.64,-0.031,3.984,11.521,5.313,90.0,5.703,90.0,7.605,90.0
62,,-2.888,0.000,1.08,0.9,0.920,1.075,15.510,4.264,90.0,4.264,90.0,4.264,90.0
63,,-2.789,0.400,1.04,0.62,-0.024,1.718,10.367,5.191,90.0,5.406,90.0,7.389,90.0
64,,-3.816,0.000,1.14,0.71,-0.109,6.420,12.290,5.481,90.0,5.690,90.0,7.881,90.0
65,,-2.610,0.600,1.14,0.53,-0.078,1.429,10.224,5.193,90.0,5.322,90.0,7.398,90.0
66,,-3.308,0.200,1.04,0.91,-0.045,5.200,15.125,5.850,90.0,6.086,90.0,8.497,90.0
67,,-1.980,0.001,1.04,0.67,-0.133,-0.622,11.319,5.227,90.0,5.704,90.0,7.593,90.0
68,,-3.469,0.800,1.04,0.83,-0.107,2.783,14.265,5.729,90.0,5.981,90.0,8.327,90.0
69,,-3.229,0.000,1.14,0.94,0.716,4.825,18.729,4.541,90.0,4.541,90.0,4.541,90.0
70,,-3.528,0.000,1.14,0.61,-0.128,5.064,10.921,5.298,90.0,5.449,90.0,7.566,90.0
71,,-3.073,0.200,1.14,0.58,0.005,3.823,10.585,5.228,90.0,5.407,90.0,7.490,90.0
72,,-3.661,0.000,1.14,0.72,-0.078,5.935,12.652,5.525,90.0,5.756,90.0,7.958,90.0
73,,-2.228,0.200,0.9,0.87,0.192,-4.988,14.337,5.515,90.0,5.978,90.0,8.697,90.0
74,,-1.942,0.000,0.9,1.06,0.076,-6.161,12.944,5.884,90.0,6.038,90.0,7.287,90.0
75,,-2.333,0.200,0.9,1.03,0.183,-4.393,14.238,5.439,90.0,5.977,90.0,8.759,90.0
76,,-2.275,0.200,0.9,0.98,0.258,-4.769,13.873,5.458,90.0,5.847,90.0,8.694,90.0
77,,-2.497,0.200,0.9,0.91,0.021,3.359,14.663,6.136,55.6,6.136,55.6,6.136,55.6
78,,-2.255,0.200,0.9,0.85,0.193,-4.902,14.103,5.493,90.0,5.873,90.0,8.743,90.0
79,,-2.311,0.200,0.9,0.96,0.199,-4.454,13.484,5.451,90.0,5.759,90.0,8.590,90.0
80,,-3.166,0.000,0.89,1.35,0.311,-3.113,18.714,6.082,90.0,6.180,90.0,9.958,90.0
81,,-2.706,0.000,0.89,0.45,0.661,3.630,8.145,3.440,90.0,3.440,90.0,3.440,90.0
82,,-3.408,0.000,0.89,1.06,0.283,-9.478,14.504,5.803,90.0,5.904,90.0,8.466,90.0
83,,-2.492,0.200,0.89,1.38,0.267,-11.897,16.137,6.463,90.0,6.889,90.0,7.249,90.0
84,,-2.360,0.000,0.89,0.72,0.998,0.770,10.170,3.705,90.0,3.705,90.0,3.705,90.0
85,,-2.464,0.200,0.89,1.52,0.201,-16.391,17.128,6.546,90.0,7.221,90.0,7.247,90.0
86,,-2.367,0.000,0.89,0.69,0.428,1.196,15.092,5.909,90.0,6.048,90.0,8.446,90.0
87,,-3.229,0.000,0.89,1.18,0.272,-10.761,15.972,5.870,90.0,5.966,90.0,9.123,90.0
88,,-3.455,0.000,0.89,0.95,0.205,-6.177,13.136,5.558,90.0,5.726,90.0,8.254,90.0
89,0.418,,,,,,,,,,,,,
90,1.067,,,,,,,,,,,,,
91,1.773,,,,,,,,,,,,,
92,2.296,,,,,,,,,,,,,
93,2.256,,,,,,,,,,,,,
94,3.156,,,,,,,,,,,,,
95,1.822,,,,,,,,,,,,,
96,2.597,,,,,,,,,,,,,
97,2.31,,,,,,,,,,,,,
98,2.023,,,,,,,,,,,,,
99,1.939,,,,,,,,,,,,,
100,1.685,,,,,,,,,,,,,
101,1.337,,,,,,,,,,,,,
102,1.896,,,,,,,,,,,,,
103,1.269,,,,,,,,,,,,,
104,0.206,,,,,,,,,,,,,
105,1.39,,,,,,,,,,,,,
106,1.985,,,,,,,,,,,,,
107,2.424,,,,,,,,,,,,,
108,1.388,,,,,,,,,,,,,
109,1.794,,,,,,,,,,,,,
110,2.123,,,,,,,,,,,,,
111,1.358,,,,,,,,,,,,,
112,1.406,,,,,,,,,,,,,
113,1.315,,,,,,,,,,,,,
114,2.477,,,,,,,,,,,,,
115,1.638,,,,,,,,,,,,,
116,1.523,,,,,,,,,,,,,
117,0.209,,,,,,,,,,,,,
118,1.333,,,,,,,,,,,,,
119,0.532,,,,,,,,,,,,,
120,1.695,,,,,,,,,,,,,
121,0.855,,,,,,,,,,,,,
122,1.108,,,,,,,,,,,,,
123,0.928,,,,,,,,,,,,,
124,1.361,,,,,,,,,,,,,
125,0.685,,,,,,,,,,,,,
126,5.872,,,,,,,,,,,,,
127,2.953,,,,,,,,,,,,,
128,0.709,,,,,,,,,,,,,
129,0.389,,,,,,,,,,,,,
130,2.6,,,,,,,,,,,,,
131,0.374,,,,,,,,,,,,,
132,1.445,,,,,,,,,,,,,
133,1.895,,,,,,,,,,,,,
134,1.153,,,,,,,,,,,,,
135,4.139,,,,,,,,,,,,,
136,1.371,,,,,,,,,,,,,
137,1.662,,,,,,,,,,,,,
138,0.387,,,,,,,,,,,,,
139,2.052,,,,,,,,,,,,,
140,0.379,,,,,,,,,,,,,
141,0.825,,,,,,,,,,,,,
142,1.032,,,,,,,,,,,,,
143,0.619,,,,,,,,,,,,,
144,1.451,,,,,,,,,,,,,
145,4.661,,,,,,,,,,,,,
146,1.24,,,,,,,,,,,,,
147,1.658,,,,,,,,,,,,,
148,1.097,,,,,,,,,,,,,
149,1.869,,,,,,,,,,,,,
150,1.489,,,,,,,,,,,,,
151,1.751,,,,,,,,,,,,,
152,0.578,,,,,,,,,,,,,
153,4.701,,,,,,,,,,,,,
154,0.7,,,,,,,,,,,,,
155,2.527,,,,,,,,,,,,,
156,0.932,,,,,,,,,,,,,
157,1.952,,,,,,,,,,,,,
158,1.129,,,,,,,,,,,,,
159,2.364,,,,,,,,,,,,,
160,0.346,,,,,,,,,,,,,
161,4.217,,,,,,,,,,,,,
162,0.626,,,,,,,,,,,,,
163,2.185,,,,,,,,,,,,,
164,0.656,,,,,,,,,,,,,
165,0.509,,,,,,,,,,,,,
166,1.523,,,,,,,,,,,,,
167,0.655,,,,,,,,,,,,,
168,0.543,,,,,,,,,,,,,
169,3.438,,,,,,,,,,,,,
170,0.944,,,,,,,,,,,,,
171,3.534,,,,,,,,,,,,,
172,1.041,,,,,,,,,,,,,
173,0.718,,,,,,,,,,,,,
174,1.244,,,,,,,,,,,,,
175,0.822,,,,,,,,,,,,,
176,3.5,,,,,,,,,,,,,
177,4.007,,,,,,,,,,,,,
178,2.2161416061278736,,,,,,,,,,,,,
179,1.2116000205216477,,,,,,,,,,,,,
180,0.8673844411058429,,,,,,,,,,,,,
181,1.4568731005082929,,,,,,,,,,,,,
182,2.0834906983548946,,,,,,,,,,,,,
183,2.0581939947786014,,,,,,,,,,,,,
184,1.1731612923964232,,,,,,,,,,,,,
185,1.0995309858152489,,,,,,,,,,,,,
186,1.6469787369302018,,,,,,,,,,,,,
187,2.7243396438902274,,,,,,,,,,,,,
188,1.7067983865120202,,,,,,,,,,,,,
189,1.2617793711554217,,,,,,,,,,,,,
190,1.177123990629513,,,,,,,,,,,,,
191,1.2516137675627752,,,,,,,,,,,,,
192,2.129249939062821,,,,,,,,,,,,,
193,1.0996475242229355,,,,,,,,,,,,,
194,0.8059777697432755,,,,,,,,,,,,,
195,0.8504962288688929,,,,,,,,,,,,,
196,2.607479295433828,,,,,,,,,,,,,
197,0.8805645241174028,,,,,,,,,,,,,
198,1.5122852033853011,,,,,,,,,,,,,
199,1.5667904832141804,,,,,,,,,,,,,
200,0.9150899170169841,,,,,,,,,,,,,
201,1.5088159920633648,,,,,,,,,,,,,
202,0.8766115523469804,,,,,,,,,,,,,
203,2.9145147796564745,,,,,,,,,,,,,
204,1.2127071133107348,,,,,,,,,,,,,
205,1.2783932276862617,,,,,,,,,,,,,
206,0.5279335606688733,,,,,,,,,,,,,
207,0.9843320807520775,,,,,,,,,,,,,
208,0.798400172301416,,,,,,,,,,,,,
209,0.8858532894221064,,,,,,,,,,,,,
210,0.5090782439783775,,,,,,,,,,,,,
211,0.7515360811602257,,,,,,,,,,,,,
212,0.9776633209308356,,,,,,,,,,,,,
213,0.5491978762497778,,,,,,,,,,,,,
214,1.129339505392169,,,,,,,,,,,,,
215,6.246124778506138,,,,,,,,,,,,,
216,2.7118966117468406,,,,,,,,,,,,,
217,0.6078490690415642,,,,,,,,,,,,,
218,0.40518725116313487,,,,,,,,,,,,,
219,2.440036735803638,,,,,,,,,,,,,
220,0.3972351932594937,,,,,,,,,,,,,
221,1.6553469165446517,,,,,,,,,,,,,
222,1.674610178356505,,,,,,,,,,,,,
223,1.1870409689538264,,,,,,,,,,,,,
224,4.023696874673703,,,,,,,,,,,,,
225,1.3135435330495076,,,,,,,,,,,,,
226,1.7135817266310764,,,,,,,,,,,,,
227,0.3580327017549757,,,,,,,,,,,,,
228,1.9749006515164171,,,,,,,,,,,,,
229,0.5901745098522923,,,,,,,,,,,,,
230,0.6352726357281082,,,,,,,,,,,,,
231,0.8599274839682718,,,,,,,,,,,,,
232,0.44122417650710505,,,,,,,,,,,,,
233,1.2468304764947415,,,,,,,,,,,,,
234,4.754010928690154,,,,,,,,,,,,,
235,0.8808337608003717,,,,,,,,,,,,,
236,1.4013399847841552,,,,,,,,,,,,,
237,0.9863756539349754,,,,,,,,,,,,,
238,1.7278882930153034,,,,,,,,,,,,,
239,1.3555116069201827,,,,,,,,,,,,,
240,1.6620061013355893,,,,,,,,,,,,,
241,1.3975925036515482,,,,,,,,,,,,,
242,4.7055993209688864,,,,,,,,,,,,,
243,0.78640342311249,,,,,,,,,,,,,
244,2.514305140845915,,,,,,,,,,,,,
245,0.562373496012717,,,,,,,,,,,,,
246,2.228745457696051,,,,,,,,,,,,,
247,1.7441317956032032,,,,,,,,,,,,,
248,4.0171082189692235,,,,,,,,,,,,,
249,1.935921455200003,,,,,,,,,,,,,
250,4.686179693726844,,,,,,,,,,,,,
251,1.1656650737445167,,,,,,,,,,,,,
252,1.5262959219543792,,,,,,,,,,,,,
253,1.2392558305575794,,,,,,,,,,,,,
254,0.7920401626021826,,,,,,,,,,,,,
255,1.665728315012364,,,,,,,,,,,,,
256,1.2409816375491733,,,,,,,,,,,,,
257,1.4313261991114832,,,,,,,,,,,,,
258,2.170084680493627,,,,,,,,,,,,,
259,1.088028830984687,,,,,,,,,,,,,
260,2.9361541965909286,,,,,,,,,,,,,
261,1.2894187594134041,,,,,,,,,,,,,
262,1.1666665822760334,,,,,,,,,,,,,
263,1.8410979505866536,,,,,,,,,,,,,
264,0.9591698398978611,,,,,,,,,,,,,
265,2.6363006559423754,,,,,,,,,,,,,
266,3.876210439560297,,,,,,,,,,,,,
